Fecha,User_ID,Nombre,Rol,Evento,Resultado,Motivo
2026-02-20 15:43:50,4,Juan,Usuario,LOGIN_OK,,
2026-02-20 15:48:23,1,Administrador,Admin,LOGIN_OK,,
2026-02-20 15:55:12,1,Administrador,Admin,LOGIN_OK,,
2026-02-20 16:14:42,2,Juan,Usuario,,LOGIN_OK,
2026-02-20 16:15:02,2,Juan,Usuario,,LOGIN_FAIL,Password incorrecto
2026-02-20 16:23:34,2,Juan,Usuario,,LOGIN_OK,
2026-02-20 16:24:09,1,Administrador,Admin,,LOGIN_OK,
2026-02-20 16:28:39,1,Administrador,Admin,,LOGIN_OK,
2026-02-21 16:11:09,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:13:52,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:14:02,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:15:32,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:18:02,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:18:44,2,Juan,Usuario,,LOGIN_FAIL,Password incorrecto (web)
2026-02-21 16:18:47,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:19:12,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:22:32,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:23:06,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:23:16,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 16:26:25,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:28:24,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:32:27,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 16:48:42,1,Administrador,Admin,,LOGIN_FAIL,Password incorrecto (web)
2026-02-21 16:48:49,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 17:02:23,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 17:03:13,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 17:10:18,1,Administrador,Admin,,LOGIN_OK (web),
2026-02-21 17:23:01,2,Juan,Usuario,,LOGIN_OK (web),
2026-02-21 17:24:34,1,Administrador,Admin,,LOGIN_OK (web),
